team,confederation,head_coach
Algeria,CAF,Vladimir Petkoviƒá
Argentina,CONMEBOL,Lionel Scaloni
Australia,AFC,Tony Popovic
Austria,UEFA,Ralf Rangnick
Belgium,UEFA,Rudi Garcia
Bosnia and Herzegovina,UEFA,Sergej Barbarez
Brazil,CONMEBOL,Carlo Ancelotti
Canada,CONCACAF,Jesse Marsch
Cape Verde,CAF,Bubista
Colombia,CONMEBOL,Néstor Lorenzo
Croatia,UEFA,Zlatko Daliƒá
Cura√ßao,CONCACAF,Dick Advocaat
Czech Republic,UEFA,Miroslav Koubek
DR Congo,CAF,Sébastien Desabre
Ecuador,CONMEBOL,Sebastián Beccacece
Egypt,CAF,Hossam Hassan
England,UEFA,Thomas Tuchel
France,UEFA,Didier Deschamps
Germany,UEFA,Julian Nagelsmann
Ghana,CAF,Vacant
Haiti,CONCACAF,Sébastien Migné
Iran,AFC,Amir Ghalenoei
Iraq,AFC,Graham Arnold
Ivory Coast,CAF,Emerse Faé
Japan,AFC,Hajime Moriyasu
Jordan,AFC,Jamal Sellami
Mexico,CONCACAF,Javier Aguirre
Morocco,CAF,Walid Regragui
Netherlands,UEFA,Ronald Koeman
New Zealand,OFC,Darren Bazeley
Norway,UEFA,Ståle Solbakken
Panama,CONCACAF,Thomas Christiansen
Paraguay,CONMEBOL,Gustavo Alfaro
Portugal,UEFA,Roberto Martínez
Qatar,AFC,Julen Lopetegui
Saudi Arabia,AFC,Hervé Renard
Scotland,UEFA,Steve Clarke
Senegal,CAF,Pape Thiaw
South Africa,CAF,Hugo Broos
South Korea,AFC,Hong Myung-bo
Spain,UEFA,Luis de la Fuente
Sweden,UEFA,Graham Potter
Switzerland,UEFA,Murat Yakin
Tunisia,CAF,Sami Trabelsi
Turkey,UEFA,Vincenzo Montella
United States,CONCACAF,Mauricio Pochettino
Uruguay,CONMEBOL,Marcelo Bielsa
Uzbekistan,AFC,Fabio Cannavaro